#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
141,SIC250195,山景服務處|(S),興趣班組|(IC),自選歌曲唱歌班|(SIC250195),2025-08-07 (開始)|2025-09-25 (結束),13:30 (開始)|15:00 (結束),四,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),20 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 8
142,SIC250194,山景服務處|(S),興趣班組|(IC),成人毛筆書法課程B|(SIC250194),2025-07-23 (開始)|2025-09-10 (結束),10:30 (開始)|12:00 (結束),三,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),2 人,$380.00 (課程)|$480.00 (非會員)|,,學生數: 2
143,SIC250193,山景服務處|(S),興趣班組|(IC),(60歲以下人士)太極劍(優惠課程)|(SIC250193),2025-09-25 (開始)|2026-01-15 (結束),15:00 (開始)|16:15 (結束),四,10 (堂數)|7 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$270.00 (課程)|$370.00 (非會員)|,,學生數: 0
144,SFP250011,山景服務處|(S),活動|(E),(65歲以上及小童)慶回歸愉快一天遊(代收心之景社)|(SFP250011),2025-08-17 (開始)|2025-08-17 (結束),09:00 (開始)|17:00 (結束),日,1 (堂數)|0 (停課)|8 小時 0 分 (時長)|,,,SK|(SK4),20 人,$218.00 (課程)|$318.00 (非會員)|,,學生數: 9
145,SFP2500010,山景服務處|(S),活動|(E),(成人)慶回歸愉快一天遊(代收心之景社)|(SFP2500010),2025-08-17 (開始)|2025-08-17 (結束),09:00 (開始)|17:00 (結束),日,1 (堂數)|0 (停課)|8 小時 0 分 (時長)|,,,SK|(SK4),20 人,$288.00 (課程)|$388.00 (非會員)|,,學生數: 1
146,SIC250192,山景服務處|(S),興趣班組|(IC),（個別）兒童珠心算A|(SIC250192),2025-06-28 (開始)|2025-06-28 (結束),13:00 (開始)|14:00 (結束),六,1 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),10 人,$100.00 (課程)|$200.00 (非會員)|,,學生數: 1
147,SIC250191,山景服務處|(S),興趣班組|(IC),(舊生優先)成人毛筆書法課程-初班|(SIC250191),2025-09-10 (開始)|2025-11-12 (結束),14:00 (開始)|15:30 (結束),三,8 (堂數)|2 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),9 人,$380.00 (課程)|$480.00 (非會員)|,,學生數: 9
148,SIC250190,山景服務處|(S),興趣班組|(IC),(長者)太極劍(優惠課程)|(SIC250190),2025-09-25 (開始)|2026-01-15 (結束),15:00 (開始)|16:15 (結束),四,10 (堂數)|7 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$250.00 (課程)|$350.00 (非會員)|,,學生數: 12
149,SIC250189,山景服務處|(S),興趣班組|(IC),(孔俊軒)電鋼琴班(日)（12:00 - 12:30）|(SIC250189),2025-07-13 (開始)|2025-08-03 (結束),12:00 (開始)|12:30 (結束),日,4 (堂數)|0 (停課)|30 分 (時長)|,,,活動室|(SK3),1 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 1
150,SIC250188,山景服務處|(S),興趣班組|(IC),柔道班|(SIC250188),2025-07-26 (開始)|2025-10-11 (結束),20:00 (開始)|21:30 (結束),六,12 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),10 人,$350.00 (課程)|$450.00 (非會員)|,,學生數: 2
