#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
25,SIC25004,山景服務處|(S),興趣班組|(IC),成人素描課程(優惠課程)|(SIC25004),2025-11-19 (開始)|2025-12-10 (結束),14:30 (開始)|16:30 (結束),三,4 (堂數)|0 (停課)|2 小時 0 分 (時長)|,是,屯門栢麗廣埸16樓1616室,,10 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 0
26,SIC25003,山景服務處|(S),興趣班組|(IC),成人水彩課程(優惠課程)|(SIC25003),2025-11-19 (開始)|2025-12-10 (結束),10:00 (開始)|12:00 (結束),三,4 (堂數)|0 (停課)|2 小時 0 分 (時長)|,是,屯門栢麗廣埸16樓1616室,,10 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 0
27,SFP250026,山景服務處|(S),活動|(E),峰林雲城五天團|(SFP250026),2025-12-23 (開始)|2025-12-27 (結束),08:00 (開始)|20:00 (結束),"一, 二, 三, 六, 日",3 (堂數)|0 (停課)|12 小時 0 分 (時長)|,是,三省,,7 人,"$2,999.00 (課程)|$3,099.00 (非會員)|",,學生數: 7
28,SFP250025,山景服務處|(S),活動|(E),中童峰林雲城五天團|(SFP250025),2025-12-23 (開始)|2025-12-27 (結束),08:00 (開始)|20:00 (結束),"一, 二, 三, 六, 日",3 (堂數)|0 (停課)|12 小時 0 分 (時長)|,是,三省,,1 人,"$1,499.00 (課程)|$1,599.00 (非會員)|",,學生數: 1
29,SFP250024,山景服務處|(S),活動|(E),(袁小虹)峰林雲城五天團|(SFP250024),2025-12-23 (開始)|2025-12-27 (結束),08:00 (開始)|20:00 (結束),"二, 三, 四, 五, 六",5 (堂數)|0 (停課)|12 小時 0 分 (時長)|,是,三省,,1 人,"$999.00 (課程)|$1,099.00 (非會員)|",,學生數: 1
30,SIC250272,山景服務處|(S),興趣班組|(IC),流行粵語金曲課程|(SIC250272),2025-12-31 (開始)|2026-02-25 (結束),10:30 (開始)|12:00 (結束),三,8 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),20 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 0
31,SIC250270,山景服務處|(S),興趣班組|(IC),(舊生優先)成人毛筆書法課程-初班|(SIC250270),2025-11-19 (開始)|2026-01-07 (結束),14:00 (開始)|15:30 (結束),三,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),9 人,$380.00 (課程)|$480.00 (非會員)|,,學生數: 6
32,SIC250269,山景服務處|(S),興趣班組|(IC),成人毛筆書法課程-入門班|(SIC250269),2025-11-26 (開始)|2026-01-14 (結束),10:30 (開始)|12:00 (結束),三,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),10 人,$380.00 (課程)|$480.00 (非會員)|,,學生數: 10
33,SIC250268,山景服務處|(S),興趣班組|(IC),初級瑜伽課程A(三)|(SIC250268),2025-11-26 (開始)|2026-01-14 (結束),09:15 (開始)|10:30 (結束),三,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 11
34,SIC250267,山景服務處|(S),興趣班組|(IC),輕鬆健體瑜伽課程E(三)|(SIC250267),2025-12-03 (開始)|2026-01-21 (結束),20:30 (開始)|21:45 (結束),三,8 (堂數)|0 (停課)|1 小時 15 分 (時長)|,,,禮堂|(SK1),15 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 3
35,SFP250021,山景服務處|(S),活動|(E),(陳雪英梁燕芳)峰林雲城五天團|(SFP250021),2025-12-23 (開始)|2025-12-27 (結束),08:00 (開始)|17:00 (結束),"二, 三, 四, 五, 六",5 (堂數)|0 (停課)|9 小時 0 分 (時長)|,,,SK|(SK4),2 人,"$1,999.00 (課程)|$2,099.00 (非會員)|",,學生數: 2
36,SFP250020,山景服務處|(S),活動|(E),峰林雲城五天團|(SFP250020),2025-12-23 (開始)|2025-12-27 (結束),08:00 (開始)|17:00 (結束),"二, 三, 四, 五, 六",5 (堂數)|0 (停課)|9 小時 0 分 (時長)|,,,SK|(SK4),30 人,"$2,499.00 (課程)|$2,599.00 (非會員)|",,學生數: 27
37,SIC250260,山景服務處|(S),興趣班組|(IC),明珠國語金曲班|(SIC250260),2025-11-24 (開始)|2026-01-26 (結束),14:00 (開始)|15:30 (結束),一,8 (堂數)|2 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),25 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 17
38,SIC250255,山景服務處|(S),興趣班組|(IC),(延至26/11)成人肚皮舞課程(優惠課程)|(SIC250255),2025-11-26 (開始)|2026-01-14 (結束),19:00 (開始)|20:30 (結束),三,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),20 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 3
39,SIC250254,山景服務處|(S),興趣班組|(IC),懷舊國語金曲班|(SIC250254),2025-12-10 (開始)|2026-01-28 (結束),15:30 (開始)|17:00 (結束),三,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),30 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 1
40,SIC250253,山景服務處|(S),興趣班組|(IC),中國水墨畫|(SIC250253),2025-11-18 (開始)|2026-01-06 (結束),10:00 (開始)|11:30 (結束),二,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),8 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 6
41,SIC250250,山景服務處|(S),興趣班組|(IC),養生詠春拳進階班(優惠課程)|(SIC250250),2025-11-24 (開始)|2026-01-26 (結束),15:30 (開始)|16:30 (結束),一,8 (堂數)|2 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$80.00 (課程)|$180.00 (非會員)|,,學生數: 11
42,SIC250206,山景服務處|(S),興趣班組|(IC),兒童綜合畫班(優惠課程)|(SIC250206),2025-12-08 (開始)|2026-01-12 (結束),17:30 (開始)|18:30 (結束),一,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),8 人,$450.00 (課程)|$550.00 (非會員)|,,學生數: 0
43,SIC250185,山景服務處|(S),興趣班組|(IC),健體八段錦(優惠課程)|(SIC250185),2025-11-26 (開始)|2025-12-31 (結束),17:00 (開始)|18:00 (結束),三,6 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 0
